guojing,12341,1377660105,7,192.168.1.34|guojing,12341,1377666173,8,192.168.1.34
huangr,12348,1377537895,7,192.168.1.38|huangr,12348,1377541495,8,192.168.1.38
lidz,12313,1377679344,7,192.168.25.17|lidz,12313,1377679348,8,192.168.25.17
tongxy,15332,1376446317,7,192.168.1.65|tongxy,15332,1377667317,8,192.168.1.65
lidz,441232,1375334515,7,192.168.1.61|lidz,441232,1377679349,8,192.168.1.61
luxiucai,12311,1377679341,7,192.168.25.16|luxiucai,12311,1377679346,8,192.168.25.16
moxb,23123,1377441617,7,192.168.1.69|moxb,23123,1377679349,8,192.168.1.69
luxiucai,21356,1377663394,7,192.168.1.62|luxiucai,21356,1377679343,8,192.168.1.62
luwsh,12356,1377645205,7,192.168.1.45|luwsh,12356,1377674473,8,192.168.1.45
baizt,16321,1376331705,7,192.168.1.78|baizt,16321,1377798173,8,192.168.1.78
luwsh,12330,1377679358,7,192.168.25.12|luwsh,12330,1377679365,8,192.168.25.12
luwsh,12321,1377679353,7,192.168.25.12|luwsh,12321,1377679356,8,192.168.25.12
baizt,12323,1377679358,7,192.168.25.14|baizt,12323,1377679365,8,192.168.25.14
luwsh,12348,1377679366,7,192.168.25.12|luwsh,12348,1377679369,8,192.168.25.12
moxb,12339,1377679361,7,192.168.25.15|moxb,12339,1377679370,8,192.168.25.15
baizt,12357,1377679392,7,192.168.25.14|baizt,12357,1377679395,8,192.168.25.14
lidz,12351,1377679377,7,192.168.25.17|lidz,12351,1377679380,8,192.168.25.17
xingbt,12352,1377679385,7,192.168.25.19|xingbt,12352,1377679389,8,192.168.25.19
baizt,12351,1377679367,7,192.168.25.14|baizt,12351,1377679377,8,192.168.25.14
guofr,12357,1377679390,7,192.168.25.18|guofr,12357,1377679397,8,192.168.25.18
